Пол;Возраст;Зарплата;Ищет работу на должность;Город;Занятость;График;Опыт;Последнее/нынешнее место работы;Последняя/нынешняя должность;Выполняемые задачи на прошлых местах работ;Обо мне;Ключевые навыки;Образование и ВУЗ
М;30;95000;Chatbot Developer;Баку;Полная занятость;Полный рабочий день;2 года 6 месяцев;AIBots;Chatbot Developer;Разработка и обучение чат-ботов на основе искусственного интеллекта для обеспечения автоматизации взаимодействия с клиентами.;Разработчик чат-ботов с опытом работы в создании и оптимизации ботов.;Python, TensorFlow, чат-боты, нейронные сети;Азербайджанский Технический Университет
М;30;95000;Chatbot Developer;Баку;Полная занятость;Полный рабочий день;2 года 6 месяцев;AIBots;Chatbot Developer;Разработка и оптимизация чат-ботов с использованием нейронных сетей и Docker-контейнеров.;Разработчик чат-ботов с опытом работы в создании и оптимизации Docker-контейнеров.;Python, TensorFlow, чат-боты, нейронные сети, Docker;Азербайджанский Технический Университет
Ж;28;75000;Machine Learning Engineer;Баку;Полная занятость;Полный рабочий день;2 года 5 месяцев;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для управления автономными автомобилями.;Инженер с опытом работы в разработке ML-моделей для автономных автомобилей, Git и Docker.;Python, scikit-learn, TensorFlow, автономные системы, Git, Docker;Азербайджанский Технический Университет
Ж;30;76000;Computer Vision Specialist;Тбилиси;Полная занятость;Полный рабочий день;2 года 3 месяца;VisionTech;Computer Vision Specialist;Разработка алгоритмов компьютерного зрения для улучшения автоматизированных систем.;Специалист по компьютерному зрению с опытом работы в Git, GitHub и Docker.;Python, OpenCV, TensorFlow, Git, GitHub, Docker;Армянский Технический Университет
Ж;29;73000;NLP Specialist;Минск;Полная занятость;Полный рабочий день;2 года 3 месяца;TextAI;NLP Specialist;Разработка и дообучение моделей обработки естественного языка для улучшения автоматической обработки текстов.;Специалист по NLP с опытом работы в разработке и анализе моделей обработки текстов.;Python, Transformers, BERT, GPT, обработка текстов;Белорусский Государственный Университет
Ж;29;74000;NLP Specialist;Тбилиси;Полная занятость;Полный рабочий день;2 года 3 месяца;TextAI;NLP Specialist;Разработка и оптимизация моделей обработки естественного языка с использованием Git и Docker.;Специалист по NLP с опытом работы в разработке и анализе текстовых данных, Git и Docker.;Python, Transformers, BERT, GPT, Git, Docker;Белорусский Государственный Университет
Ж;25;70000;Data Analyst;Париж;Полная занятость;Полный рабочий день;2 года 6 месяцев;DataFlow;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик с опытом работы в сфере маркетинга и мобильных приложений.;SQL, Tableau, Python, визуализация данных.;Высшее образование, Sorbonne Universit?
Ж;28;79000;Data Analyst;Алматы;Полная занятость;Полный рабочий день;2 года;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и визуализации.;SQL, Tableau, Python, визуализация данных;Высшее образование, Алматинский Государственный Университет
Ж;28;82000;Data Scientist;Алматы;Полная занятость;Полный рабочий день;2 года;DataTech;Data Scientist;Разработка и обучение моделей машинного обучения для анализа данных.;Ученый-аналитик с опытом работы в ML-моделях и анализе данных.;Python, scikit-learn, pandas, машинное обучение;Высшее образование, Алматинский Государственный Университет
Ж;28;86000;Data Scientist;Алматы;Полная занятость;Полный рабочий день;2 года;DataTech;Data Scientist;Разработка и обучение моделей машинного обучения для анализа данных.;Ученый-аналитик с опытом работы в ML-моделях и анализе данных.;Python, scikit-learn, pandas, машинное обучение;Высшее образование, Алматинский Государственный Университет
Ж;28;90000;Data Scientist;Алматы;Полная занятость;Полный рабочий день;2 года;DataTech;Data Scientist;Разработка и обучение моделей машинного обучения для анализа данных.;Ученый-аналитик с опытом работы в ML-моделях и анализе данных.;Python, scikit-learn, pandas, машинное обучение;Высшее образование, Алматинский Государственный Университет
Ж;28;94000;Data Scientist;Алматы;Полная занятость;Полный рабочий день;2 года;DataTech;Data Scientist;Разработка и обучение моделей машинного обучения для анализа данных.;Ученый-аналитик с опытом работы в ML-моделях и анализе данных.;Python, scikit-learn, pandas, машинное обучение;Высшее образование, Алматинский Государственный Университет
Ж;29;78000;Data Scientist;Алматы;Полная занятость;Полный рабочий день;3 года 2 месяца;DataWave;Data Scientist;Анализ данных, прогнозирование цен акций, разработка статистических моделей.;Ученый с опытом работы в анализе данных и статистическом моделировании.;Python, R, Machine Learning, прогнозирование;Высшее образование, Алматинский Государственный Университет
М;29;122000;AutoML Engineer;Алматы;Полная занятость;Полный рабочий день;2 года 8 месяцев;MLInnovate;AutoML Engineer;Разработка и обучение автоматических ML-моделей с использованием AutoML фреймворков.;Инженер с опытом работы в разработке автоматизированных ML-моделей.;AutoKeras, H2O, Python, автоматическое машинное обучение;Высшее образование, Алматинский Государственный Университет
Ж;29;72000;Trading Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 4 месяца;TradeWave;Trading Analyst;Анализ рынка, разработка торговых стратегий на основе данных, оптимизация портфеля.;Трейдер с опытом работы в анализе рынка и трейдинге.;Python, MATLAB, анализ финансовых данных;Высшее образование, Алматинский Государственный Университет
Ж;26;75000;Machine Learning Engineer;Алматы;Полная занятость;Полный рабочий день;2 года 8 месяцев;AI Innovations;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для компьютерного зрения, оптимизация алгоритмов.;Специалист по машинному обучению с фокусом на компьютерное зрение.;Python, TensorFlow, PyTorch, компьютерное зрение;Высшее образование, Алматинский Технический Университет
М;31;160000;Machine Learning Engineer;Алматы;Полная занятость;Полный рабочий день;2 года 9 месяцев;ML Innovations;Machine Learning Engineer;Разработка и обучение моделей машинного обучения, оптимизация алгоритмов.;Инженер по машинному обучению с опытом работы в сфере биоинформатики.;Python, scikit-learn, биоинформатика;Высшее образование, Алматинский Технический Университет
Ж;26;76000;Data Scientist;Алматы;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataTech;Data Scientist;Анализ данных, создание статистических моделей, оптимизация процессов.;Специалист по анализу данных с опытом работы в сфере медицинской аналитики.;Python, R, SQL, статистический анализ данных, медицинская аналитика.;Высшее образование, Алматинский Технический Университет
М;31;158000;Machine Learning Engineer;Алматы;Полная занятость;Полный рабочий день;2 года 9 месяцев;ML Innovations;Machine Learning Engineer;Разработка и обучение моделей машинного обучения, оптимизация алгоритмов.;Инженер по машинному обучению с опытом работы в сфере биоинформатики.;Python, scikit-learn, биоинформатика;Высшее образование, Алматинский Технический Университет
Ж;26;76000;Data Scientist;Алматы;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataTech;Data Scientist;Анализ данных, создание статистических моделей, оптимизация процессов.;Специалист по анализу данных с опытом работы в сфере медицинской аналитики.;Python, R, SQL, статистический анализ данных, медицинская аналитика.;Высшее образование, Алматинский Технический Университет
М;32;140000;Machine Learning Engineer;Алматы;Полная занятость;Полный рабочий день;2 года 9 месяцев;ML Innovations;Machine Learning Engineer;Разработка и обучение моделей машинного обучения, оптимизация алгоритмов.;Инженер по машинному обучению с опытом работы в сфере биоинформатики.;Python, scikit-learn, биоинформатика;Высшее образование, Алматинский Технический Университет
Ж;26;76000;Data Scientist;Алматы;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataTech;Data Scientist;Анализ данных, создание статистических моделей, оптимизация процессов.;Специалист по анализу данных с опытом работы в сфере медицинской аналитики.;Python, R, SQL, статистический анализ данных, медицинская аналитика.;Высшее образование, Алматинский Технический Университет
М;31;158000;Machine Learning Engineer;Алматы;Полная занятость;Полный рабочий день;2 года 9 месяцев;ML Innovations;Machine Learning Engineer;Разработка и обучение моделей машинного обучения, оптимизация алгоритмов.;Инженер по машинному обучению с опытом работы в сфере биоинформатики.;Python, scikit-learn, биоинформатика;Высшее образование, Алматинский Технический Университет
Ж;26;76000;Data Scientist;Алматы;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataTech;Data Scientist;Анализ данных, создание статистических моделей, оптимизация процессов.;Специалист по анализу данных с опытом работы в сфере медицинской аналитики.;Python, R, SQL, статистический анализ данных, медицинская аналитика.;Высшее образование, Алматинский Технический Университет
М;32;140000;Machine Learning Engineer;Алматы;Полная занятость;Полный рабочий день;2 года 9 месяцев;ML Innovations;Machine Learning Engineer;Разработка и обучение моделей машинного обучения, оптимизация алгоритмов.;Инженер по машинному обучению с опытом работы в сфере биоинформатики.;Python, scikit-learn, биоинформатика;Высшее образование, Алматинский Технический Университет
Ж;26;76000;Data Scientist;Алматы;Полная занятость;Полный рабочий день;2 года 5 месяцев;DataTech;Data Scientist;Анализ данных с использованием Python и SQL, создание отчетов и визуализаций.;Аналитик данных с опытом работы в сфере маркетинга и финансов.;Python, SQL, Tableau, визуализация данных.;Высшее образование, Алматинский Технический Университет
М;32;140000;Machine Learning Engineer;Алматы;Полная занятость;Полный рабочий день;2 года 9 месяцев;ML Innovations;Machine Learning Engineer;Разработка и обучение моделей машинного обучения, оптимизация алгоритмов.;Инженер по машинному обучению с опытом работы в сфере биоинформатики.;Python, scikit-learn, биоинформатика;Высшее образование, Алматинский Технический Университет
Ж;29;75000;Data Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 6 месяцев;DataWave;Data Analyst;Анализ данных с использованием Python и SQL, создание отчетов и визуализаций.;Аналитик данных с опытом работы в сфере маркетинга и финансов.;Python, SQL, Tableau, визуализация данных.;Высшее образование, Алматинский Технический Университет
М;30;135000;Machine Learning Engineer;Алматы;Полная занятость;Полный рабочий день;2 года 8 месяцев;AlgoAI;Machine Learning Engineer;Разработка и обучение моделей машинного обучения, оптимизация алгоритмов.;Инженер по машинному обучению с опытом работы в сфере финансовых прогнозов.;Python, scikit-learn, финансовые моделирования;Высшее образование, Алматинский Технический Университет
Ж;29;79000;Computer Vision Specialist;Алматы;Полная занятость;Полный рабочий день;2 года;SmartAI;Computer Vision Specialist;Разработка компьютерного зрения для автоматизации производства.;Специалист по компьютерному зрению с опытом в автоматизации производства.;Python, OpenCV, TensorFlow, компьютерное зрение;Высшее образование, Алматинский Технический Университет
М;30;128000;Big Data Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 8 месяцев;DataMiner;Big Data Analyst;Анализ больших данных, создание аналитических отчетов и оптимизация бизнес-процессов.;Аналитик больших данных с опытом работы в анализе и оптимизации бизнес-процессов.;Hadoop, Spark, SQL, анализ больших данных;Высшее образование, Алматинский Технический Университет
Ж;24;80000;HR Data Analyst;Алматы;Полная занятость;Полный рабочий день;2 года;HR Insight;HR Data Analyst;Анализ данных о сотрудниках, создание отчетов, поддержка управления персоналом.;Аналитик данных с опытом работы в анализе HR-данных.;Python, SQL, Tableau, анализ HR-данных;Высшее образование, Алматинский Технический Университет
М;28;115000;Machine Learning Engineer;Алматы;Полная занятость;Полный рабочий день;3 года;AIInnovate;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа клиентских данных в e-commerce.;Инженер с опытом работы в анализе данных в e-commerce и ML-моделях.;Python, scikit-learn, TensorFlow, e-commerce данные;Высшее образование, Алматинский Технический Университет
Ж;28;75000;Data Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 6 месяцев;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и визуализации.;SQL, Tableau, Python, визуализация данных;Высшее образование, Алматинский Технический Университет
М;29;151000;Trading Analyst;Алматы;Полная занятость;Полный рабочий день;3 года;AlmatyTrade;Trading Analyst;Анализ данных финансовых рынков, создание моделей для прогнозирования цен акций.;Трейдер с опытом работы в анализе данных финансовых рынков.;Python, scikit-learn, финансовые данные;Высшее образование, Алматинский Технический Университет
М;30;154000;Machine Learning Engineer;Алматы;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа данных в сфере энергетики.;Инженер с опытом работы в анализе данных в энергетической отрасли и ML-моделях.;Python, scikit-learn, TensorFlow, энергетические данные;Высшее образование, Алматинский Технический Университет
Ж;29;82000;Data Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 6 месяцев;DataWave;Data Analyst;Анализ данных, создание визуализаций, поддержка принятия решений на основе данных.;Аналитик данных с опытом работы в сфере анализа данных и визуализации.;SQL, Tableau, Python, визуализация данных;Высшее образование, Алматинский Технический Университет
М;32;164000;Machine Learning Engineer;Алматы;Полная занятость;Полный рабочий день;3 года;AILabs;Machine Learning Engineer;Разработка и обучение моделей машинного обучения для анализа клиентских данных в сфере медицины.;Инженер с опытом работы в анализе медицинских данных и ML-моделях.;Python, scikit-learn, TensorFlow, медицинские данные;Высшее образование, Алматинский Технический Университет
Ж;26;95000;Computer Vision Specialist;Алматы;Полная занятость;Полный рабочий день;2 года 3 месяца;AI Vision Co.;Computer Vision Specialist;Разработка компьютерного зрения для автономных автомобилей, обнаружение объектов, локализация.;Специалист по компьютерному зрению с опытом работы в автономных системах.;Python, OpenCV, CNN, автономные системы;Высшее образование, Алматинский Технический Университет.
М;29;112000;AI Supply Chain Analyst;Алматы;Полная занятость;Полный рабочий день;3 года 1 месяц;Supply Chain Innovations;AI Supply Chain Analyst;Оптимизация логистики и управления цепями поставок с использованием машинного обучения, прогнозирование спроса.;Аналитик по цепям поставок с опытом в машинном обучении.;Python, scikit-learn, прогнозирование спроса;Высшее образование, Алматинский Технический Университет.
М;29;118000;AI Energy Analyst;Алматы;Полная занятость;Полный рабочий день;3 года 2 месяца;Energy Insights;AI Energy Analyst;Анализ энергопотребления, прогнозирование нагрузок, оптимизация энергетических систем.;Аналитик по энергетике с опытом работы в анализе данных и энергетическом моделировании.;Python, scikit-learn, энергетические данные;Высшее образование, Алматинский Технический Университет.
М;30;132000;AI Transportation Engineer;Алматы;Полная занятость;Полный рабочий день;3 года;TransportTech Innovations;AI Transportation Engineer;Оптимизация транспортных систем с помощью анализа данных, прогнозирование перевозок и расходов.;Инженер по транспорту с опытом работы в анализе данных и оптимизации.;Python, scikit-learn, транспортные данные;Высшее образование, Алматинский Технический Университет.
М;30;184000;AI Renewable Energy Analyst;Алматы;Полная занятость;Полный рабочий день;3 года;EnergyTech Solutions;AI Renewable Energy Analyst;Анализ данных по возобновляемой энергетике, прогнозирование производства, оптимизация эффективности.;Аналитик по возобновляемой энергетике с опытом в анализе данных и энергетическом моделировании.;Python, scikit-learn, энергетические данные;Высшее образование, Алматинский Технический Университет.
М;30;184000;AI Renewable Energy Analyst;Алматы;Полная занятость;Полный рабочий день;3 года;EnergyTech Solutions;AI Renewable Energy Analyst;Анализ данных по возобновляемой энергетике, прогнозирование производства, оптимизация эффективности.;Аналитик по возобновляемой энергетике с опытом в анализе данных и энергетическом моделировании.;Python, scikit-learn, энергетические данные;Высшее образование, Алматинский Технический Университет.
М;28;169000;AI Event Prediction Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 4 месяца;EventTech Solutions;AI Event Prediction Analyst;Анализ данных для предсказания событий, определение вероятности наступления различных событий.;Специалист по предсказанию событий с опытом в анализе данных и статистике.;Python, scikit-learn, анализ событий;Высшее образование, Алматинский Технический Университет.
М;29;176000;AI Autonomous Vehicle Engineer;Алматы;Полная занятость;Полный рабочий день;2 года 6 месяцев;AutoTech Solutions;AI Autonomous Vehicle Engineer;Разработка алгоритмов для управления беспилотными автомобилями, обработка данных с датчиков.;Инженер по разработке автономных транспортных средств с опытом в анализе данных и автомобильной технике.;Python, машинное обучение, автомобильная техника;Высшее образование, Алматинский Технический Университет.
М;29;167000;AI Healthcare Diagnostics Specialist;Алматы;Полная занятость;Полный рабочий день;2 года 10 месяцев;DiagnosisTech Solutions;AI Healthcare Diagnostics Specialist;Разработка систем диагностики на основе анализа медицинских данных и изображений.;Специалист по медицинской диагностике с опытом в анализе данных и медицинских технологиях.;Python, медицинские данные, обработка изображений;Высшее образование, Алматинский Технический Университет.
М;30;185000;AI Video Game Developer;Алматы;Полная занятость;Полный рабочий день;2 года;GameTech Solutions;AI Video Game Developer;Разработка и анализ алгоритмов для видеоигр, создание и оптимизация геймплея.;Инженер по разработке видеоигр с опытом в анализе данных и геймдизайне.;Python, игровые данные, разработка игр;Высшее образование, Алматинский Технический Университет.
М;30;180000;AI Environmental Impact Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 5 месяцев;EnvironmentImpactTech Solutions;AI Environmental Impact Analyst;Анализ воздействия деятельности человека на окружающую среду, прогнозирование экологических последствий.;Специалист по анализу экологических данных с опытом в экологии и анализе данных.;Python, экологические данные, анализ воздействия;Высшее образование, Алматинский Технический Университет.
М;30;185000;AI Healthcare Robotics Engineer;Алматы;Полная занятость;Полный рабочий день;2 года 9 месяцев;HealthRobotTech Solutions;AI Healthcare Robotics Engineer;Разработка робототехнических решений для медицинской сферы, обработка данных с медицинских датчиков.;Инженер по робототехнике в медицине с опытом в анализе данных и медицинских технологиях.;Python, медицинские данные, робототехника;Высшее образование, Алматинский Технический Университет.
М;30;175000;AI Mental Health Support Chatbot Developer;Алматы;Полная занятость;Полный рабочий день;2 года 3 месяца;MentalHealthTech Solutions;AI Mental Health Support Chatbot Developer;Разработка чат-ботов для поддержки психического здоровья, обработка запросов пациентов.;Специалист по разработке чат-ботов для психического здоровья с опытом в анализе данных и психологии.;Python, обработка текста, психологическая помощь;Высшее образование, Алматинский Технический Университет.
М;30;178000;AI Travel Industry Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 7 месяцев;TravelTech Solutions;AI Travel Industry Analyst;Анализ данных в индустрии путешествий, определение популярных направлений и туристических трендов.;Специалист по анализу данных в туристической индустрии с опытом в анализе данных и путешествиях.;Python, анализ туристических данных, туристические тренды;Высшее образование, Алматинский Технический Университет.
М;30;180000;AI Legal Research Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 11 месяцев;LegalTech Solutions;AI Legal Research Analyst;Анализ данных в юридической сфере, подготовка правовых анализов и рекомендаций.;Специалист по анализу данных в юридической сфере с опытом в анализе данных и юриспруденции.;Python, анализ юридических данных, юридический анализ;Высшее образование, Алматинский Технический Университет.
М;30;175000;AI Transportation Analytics Specialist;Алматы;Полная занятость;Полный рабочий день;2 года 3 месяца;TransportationTech Solutions;AI Transportation Analytics Specialist;Анализ данных в транспортной сфере, определение эффективности маршрутов и улучшение транспортных систем.;Специалист по анализу транспортных данных с опытом в анализе данных и транспортных технологиях.;Python, анализ транспортных данных, оптимизация маршрутов;Высшее образование, Алматинский Технический Университет.
М;30;185000;AI Retail Personalization Specialist;Алматы;Полная занятость;Полный рабочий день;2 года 7 месяцев;RetailPersonalizationTech Solutions;AI Retail Personalization Specialist;Разработка персонализированных рекомендаций для розничных покупателей на основе анализа данных.;Специалист по персонализации розничных рекомендаций с опытом в анализе данных и маркетинговой аналитике.;Python, персонализация розничных данных, маркетинговая стратегия;Высшее образование, Алматинский Технический Университет.
М;30;180000;AI Language Translation Specialist;Алматы;Полная занятость;Полный рабочий день;2 года 11 месяцев;LanguageTranslationTech Solutions;AI Language Translation Specialist;Разработка технологий автоматического перевода текстов на основе анализа языковых данных.;Специалист по переводу текстов с использованием ИИ с опытом в языковых науках и анализе данных.;Python, языковые данные, машинный перевод;Высшее образование, Алматинский Технический Университет.
М;30;180000;AI Art Curator;Алматы;Полная занятость;Полный рабочий день;2 года 5 месяцев;ArtTech Solutions;AI Art Curator;Организация и анализ коллекций искусства на основе данных искусствоведческих исследований.;Специалист по куратированию искусства с опытом в анализе данных и искусствоведении.;Python, анализ искусствоведческих данных, кураторство искусства;Высшее образование, Алматинский Технический Университет.
М;30;180000;AI Archaeological Researcher;Алматы;Полная занятость;Полный рабочий день;2 года 9 месяцев;ArchaeologyTech Solutions;AI Archaeological Researcher;Исследование археологических находок на основе анализа данных и методов археологии.;Специалист по археологическому исследованию с опытом в анализе данных и археологии.;Python, анализ археологических данных, методы археологии;Высшее образование, Алматинский Технический Университет.
М;30;180000;AI Supply Chain Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 3 месяца;SupplyChainTech Solutions;AI Supply Chain Analyst;Анализ цепи поставок на основе данных, оптимизация логистики и управление запасами.;Специалист по анализу цепи поставок с опытом в анализе данных и логистике.;Python, анализ данных цепи поставок, логистика;Высшее образование, Алматинский Технический Университет.
М;30;180000;AI Politics Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 7 месяцев;PoliticsTech Solutions;AI Politics Analyst;Анализ данных политической сферы, определение трендов и влияния политики на общество.;Специалист по анализу политических данных с опытом в анализе данных и политологии.;Python, анализ политических данных, политический анализ;Высшее образование, Алматинский Технический Университет.
М;30;180000;AI Healthcare Planning Analyst;Алматы;Полная занятость;Полный рабочий день;2 года 11 месяцев;HealthcarePlanningTech Solutions;AI Healthcare Planning Analyst;Планирование медицинских услуг на основе анализа данных, оптимизация использования ресурсов.;Специалист по планированию медицинских услуг с опытом в анализе данных и медицинском менеджменте.;Python, анализ медицинских данных, медицинская планирование;Высшее образование, Алматинский Технический Университет.
